notes,target
"On March 1, students continued demonstrating for the third day at the University of Health Sciences in Rohtak (Haryana) and burnt the effigy of the VC to demand hostel facilities and increased stipends. Some students were reportedly dragged and beaten by police and others were detained and later released. [size=no report]",Protests
"On 1 Mar, in Coimbatore city (Coimbatore, TN), residents gathered and staged a protest as the Coimbatore Corporation began demolishing enroachments near Karumbukkadai Junction, questioning why enroachers in other areas are not evicted. Police pacified the protesters. [size=no report]",Protests
"On 1 Mar, in Visakhapatnam city (Visakhapatnam, AP), during the Prime Minister's visit to Visakhapatnam, the CPI(M) and CPI activists were arrested by policemen near the Divisional Railway Manager's Office during a protest rally against the visit. [size=200]",Protests
"On 1 Mar, police arrested a group of youths staging a protest in the Parade area of Jammu city (J&K). Their reason for protesting was not reported. [size=six]",Protests
"On 1 Mar, two policemen and two CRPF troopers were killed and 11 injured in a clash with militants during a joint RR, CRPF and SOG CASO at Khanan Babagund village (Kupwara, J&K). A civilian was also killed and three others injured when rioters clashed with state forces at the scene. A third CRPF trooper succumbed to his injuries two days later. Whilst initial reports suggested that the militants were affiliated with JeM, they were later identified as LeT militants.",Other
"Assumed on 1 Mar, in Ramdurg tehsil (Belgaum, Karnataka), the BJP and Kannada Rakshana Vedike, including an MLA, staged a demonstration and pelted stones at some shops after a pro-Pakistan remark posted by one of the villagers went viral on social media. Police brought the situation under control. One person was injured. [size=no report]",Riots
"On 1 Mar, in Hassan taluk (Hassan, Karnataka), a Congress party worker and husband of a panchayat member hit, scolded, and threatened a secretary of Seege Gram Panchayat at the GP office over an argument regarding issuing of khatas of some properties.",Violence against civilians
"On 1 Mar, in Malappuram district (Kerala), MSF activists in Calicut University staged a demonstration against the alleged sidelining of the their members in the ongoing C Zone youth festival. Several (7 police, students, and 3 journalists) were injured in stone-pelting and clashes with the SFI and were admitted to a hospital. MSF were later arrested. [size=no report]",Riots
"Assumed on 1 Mar, near Kadinamkulam (Thiruvananthapuram, Kerala), a person belonging to a Scheduled Caste community was assaulted by four youths with wooden logs. The victim sustained injuries after falling from a coconut tree, causing his death. [size=4]",Riots
"On 1 Mar, in Madurai district (TN), a woman was assaulted by her husband, her husband's friends, and a fortune teller on the predicament that she is possessed and needed to be exorcised. The woman managed to escape and police later arrested the assailants. [size=no report]",Riots
"On March 1, the All Adivasi Students' Association of Assam (AASAA) staged a protest and blocked NH15 at Gogamukh city (Dhemaji, Assam), demanding action against the illicit liquor trade. The demonstration happened after around 150 people died for consuming spurious liquor in upper Assam. [size=no report]",Protests
"On March 1, members of the Seva Dal Young Brigade Congress committee and Youth Congress took a protest rally in Silchar city (Cachar, Assam), against the administration for not taking action against liquor traders. The demonstration happened after around 150 people died for consuming spurious liquor in upper Assam. [size=no report]",Protests
"On 1 Mar, in Adilabad district (Telangana), the Lambada tribe and Tudum Debba staged a dharna in front of the collectorate to protest against the Supreme Court judgment of February 13 ordering eviction of tribals from forests. [size=no report]",Protests
"Property destruction: On March 1, Assam Rifles (AR) and Nagaland Police destroyed temporary camps of National Socialist Council of Nagaland-Isak Muivah (NSCN-IM) at Ikiesingram and Beisumpuloa villages (Peren, Nagaland).",Other
"On 28 Feb, Indian and Pakistani forces exchanged shelling and fire across the LoC in the Krishna Ghati sector area (Poonch, J&K). No injuries were reported.",Other
"On 28 Feb, Indian and Pakistani forces exchanged shelling and fire across the LoC in the Sunderbani sector area (Rajouri, J&K). No injuries were reported.",Other
"On 28 Feb, Indian and Pakistani forces exchanged shelling and fire across the LoC in the Khari Karmara sector area (Poonch, J&K). No injuries were reported.",Other
"On 28 Feb, Indian and Pakistani forces exchanged shelling and fire across the LoC in the Degwar sector area (Poonch, J&K). No injuries were reported.",Other
"On 28 Feb, an Indian woman was killed as Indian and Pakistani forces exchanged shelling and fire across the LoC in the Chhajla sector area (Poonch, J&K).",Other
"On 28 Feb, security forces gunned down a Naxal rebel during a battle in Singhanmadgu village in Konta block area (Sukma, Chhattisgarh).",Other
"On February 28, a Congress Zila Parishad member was shot dead by unidentified persons in the Kamboj Nagar area of Ferozepur (Punjab). It is unclear if the motive for the killing was personal or political.",Violence against civilians
"On February 28, several student bodies demonstrated on campus of the Kurukshetra University at Thanesar (Kurukshetra, Harayan) to demand a meeting with the VC. Some students who tried to forcefully enter the VC office were removed and 44 of them detained by police. [size=no report]",Riots
"On 28 Feb, near Puthencruz in Kunnathunad tehsil (Ernakulam, Kerala), residents of Vadavucode-Puthencruz panchayat blocked and forcibly took off keys of garbage-laden trucks bound for the Brahmapuram solid waste treatment plant to demonstrate against pollution in the plant. The police rushed to the scene and made way for the trucks to enter the plant by removing the residents. [size=no report]",Riots
"On 28 Feb, in Coimbatore city (Coimbatore, TN), members of the Coimbatore Diocese of the Church of South India (CSI) assaulted one another with iron rods and wooden logs over the appointment of principal to the CSI Boys' Higher Secondary School, injuring a Pastor and Diocese's education wing convener. [size=no report]",Riots
"Assumed on 28 Feb, in Chennai city (Chennai, TN), a group of students from the School of Excellence in Law (SOEL) clashed after a heated argument erupted during a bid to settle a feud that had emerged a few months ago. No further information was provided. [size=no report]",Riots
"On 28 Feb, in Chirala town (Prakasam, AP), the TDP staged a protest outside the Council hall to demand the resignation of its chairman who is a follower of a former TDP member who recently moved to YSRCP. The chairman also moved to YSRCP following the switch. The chairman allegedly punched a member of the TDP during the protest. [size=no report]",Protests
"On 28 Feb, near Kallakkurichchi (Viluppuram, TN), a bus conductor was injured when rioters hurled stones at SETC buses for unknown reasons. [size=no report]",Riots
"On 28 Feb, near Ulundurpettai town (Viluppuram, TN), the front of windshields of at least three TNSTC buses were damaged when rioters hurled stones at the buses for unknown reasons. [size=no report]",Riots
"On February 28, villagers demonstrated against the mining mafia in Daulewala (Moga, Punjab) for damaging the road with heavy trucks of sand and other minerals. [size=no report]",Protests
"On February 28, on the 23rd day of an ongoing demonstration by nurses pressing for full pay scale and job regularisation, two protesting nurses jumped from the roof of Government Rajindra Hospital in Patiala (Punjab) resulting in their injury along with injuries to another person. [size=no report]",Protests
"On February 28, BKU members shouted slogans and demonstrated in front of the district administrative complex in Bathinda (Punjab) to demand farm loan waivers for all farmers. [size=no report]",Protests
"On February 28, members of Safal Bharat Guru Prampara NGO raised slogans and continued sitting on dharna for the second day in Hoshiarpur (Punjab) to oppose the set-up of a Coca-Cola factory. [size=no report]",Protests
"On February 28, members of the Technical Services Union of the Punjab State Power Corporation Limited demonstrated in front of the office in Ahmedgarh (Sangrur, Punjab) to press for several demands including new and permanent appointments and regularisation of contracted employees. [size=no report]",Protests
"On February 28, the Punjab Ekta Party chief and his supporters demonstrated at Jawahar Nagar in Ludhiana (Punjab) to demand a minister's dismissal for his role in the CLU scam. [size=no report]",Protests
"On February 28, relatives of a youth whose body was found on the railway tracks near Sherpur blocked the Jagraon bridge in Ludhiana (Punjab) to demand that his case be registered as a murder because they suspected foul play. [size=no report]",Protests
"On February 28, members of a Dalit outfit demonstrated in Gaur village in Azamgarh (Uttar Pradesh) over a principal's alleged discrimination against a Dalit student. [size=no report]",Protests
"On February 28, hundreds of residents of Gurugram and Faridabad held a round-the-clock demonstration in Gurgaon (Haryana) to demand that the amendment bill be re-notified after it was passed the previous day. [size=hundreds]",Protests
"Between February 24 and 28, approximately 70 persons from Manipur demonstrated in Delhi-New Delhi (NCT of Delhi) to demand that the Street Vendor's Act 2013 be implemented and withdrawal of Citizenship Amendment Bill 2016 among other things. [size=70]",Protests
"On 28 Feb, in Palkonda tehsil (Srikakulam, AP), farmers under the aegis of Thotapalli Project Modernisation Achievement Committee (TPMAC) staged a protest and burned GO copies of lift schemes demanding that the government cancels lift irrigation schemes in Vizianagaram district. [size=no report]",Protests
"On 28 Feb, in Thoothukudi tehsil (Thoothukudi, TN), Thoothukudi district tahsildars (tax officers)/Assistant Electoral Registration Officers (AEROs), staged a protest at the Thoothkudi taluk Collectorate office, opposing the transfer of tahsildars to other districts in view of parliamentary elections. [size=no report]",Protests
"On 28 Feb, in Ramanathapuram city (Ramanathapuram, TN), members of the district unit of TN Revenue Officials' Association staged a dharna in front of the chamber of Collector alleging that they were offended by the remarks made against them by the latter. [size=no report]",Protests
"On 28 Feb, in Visakhapatnam district (AP), the ruling party (INC) and the Andhra Pradesh Special Category Status Sadhana Samithi staged a protest opposing the move to form a new South Coast Railway zone. [size=no report]",Protests
"On 28 Feb, in Thoothukudi tehsil (Thoothukudi, TN), revenue officials attached with Tamil Nadu Revenue Officers' Association (TNROA) staged a protest at their taluk office, opposing the transfer of tahsildars (tax officers) to other districts in view of parliamentary elections. [size=no report]",Protests
"On 28 Feb, in Tirunelveli city (Tirunelveli, TN), tahsildars (tax officers) attached with Tamil Nadu Revenue Officers' Association (TNROA) staged a protest on the premises of collectorate, opposing the transfer of tahsildars (tax officers) to other districts in view of parliamentary elections. [size=no report]",Protests
"On 28 Feb, in Guntur city (Guntur, AP), members of Telugu Yuvatha released black balloons during a protest rally opposing the Prime Minister's visit in AP on 1 Mar. An MLA and a Zilla Parishad Chairperson were also present. [size=no report]",Protests
"On 28 Feb, in Dharmapuri district (TN), Persons with Disability (PWDs) under the TN Association for Right of All types of Differently Abled and Caregivers (TARATDAC) staged a protest demanding the government to fulfil their seven-point charter of demands which includes special assistance, among others. [size=no report]",Protests
"On 28 Feb, in Krishnagiri district (TN), Persons with Disability (PWDs) under the TN Association for Right of All types of Differently Abled and Caregivers (TARATDAC) staged a protest demanding the government to fulfil their seven-point charter of demands which includes protection of rights for PWDs, among others. [size=no report]",Protests
"On 28 Feb, in Chepauk town (Chennai, TN), activists and Persons with Disability (PWDs) stage a protest demanding the government to fulfil their seven-point charter of demands political correctness in campaigns and public speeches. A film director and other prominent personalities also attended. [size=no report]",Protests
"On 28 Feb, in Tirunelveli city (Tirunelveli, TN), city corporation staff staged a sit-in agitation against the alleged verbal abuse done by a former councillor to their colleague. They demanded action against the former councillor. [size=no report]",Protests
"On 28 Feb, in Mangaluru tehsil (Dakshina Kannada, Karnataka), locals staged a protest near the Surathkal toll plaza and near the office of the Deputy Commissioner against the decision of the agency to collect a toll from local vehicles. [size=no report]",Protests
"Assumed on 28 Feb, in Bengaluru city (Bengaluru Urban, Karnataka), employees of the Bangalore Metropolitan Transport Corporation (BMTC) staged a protest after a conductor attempted to end her life when she was denied leave and was harrassed over her poor revenue targets. [size= no report]",Protests
"On 28 Feb, in Udupi district (Karnataka), Construction Workers Federation of India (CWFI) affiliated to the Centre of Indian Trade Unions (CITU) staged a dharna in front of the District Offices Complex demanding the Union government to save the Building and Other Construction Workers Act, 1996, and to protect the Construction Workers Board. [size=no report]",Protests
"Assumed on 28 Feb, in Dindigul district (TN), revenue officers staged a protest opposing the transfer of tahsildars (tax officers) to other districts in view of parliamentary elections. [size=no report]",Protests
"On 28 Feb, in Kodambakkam (Chennai, TN), locals briefly staged a protest on the arterial road condemning the failure of police to take quick action on a vehicular accident which just killed a woman. [size=no report]",Protests
"On 28 Feb, in Madurai district (TN), tahsildars (tax officers) attached with Tamil Nadu Revenue Officers' Association (TNROA) staged a protest on the premises of collectorate, opposing the transfer of tahsildars (tax officers) to other districts in view of parliamentary elections. [size=no report]",Protests
"On 28 Feb, in Chennai city (Chennai, TN), Persons with Disability (PWDs) under the TN Association for Right of All types of Differently Abled and Caregivers (TARATDAC) staged a protest at the Chennai Collectorate demanding the enhancement of a one-time special financial aid from the government. [size=no report]",Protests
"Assumed on 28 Feb, in Ongole city (Prakasam, AP), TDP activists from the mandals of Chimakurthy, S.N.Padu, Maddipadu and N.G.Padu came in a big procession in front of the party office and demanded the party high command to not provide the party ticket to B.N.Vijayakumar, party in charge in Santhanuthalapadu (S.N.Padu). [size=no report]",Protests
"On 28 Feb, in Madurai city (Madurai, TN), the Madurai Bar Association members staged a protest at the entrance of Madurai District Court Complex, against the government's move to shift the rent control court from the district court's complex to the collectorate. [size=no report]",Protests
"Assumed on 28 Feb, in Tiruchirappalli district (TN), Persons with Disability (PWDs) under the TN Association for Right of All types of Differently Abled and Caregivers (TARATDAC) staged a protest at the Old Collector Office Road demanding employment and special assistance, among other demands. [size=no report]",Protests
"Assumed on 28 Feb, in Tiruchirappalli (Tiruchirappalli, TN), members of the Tamil Manila Congress Farmers staged a protest at the Collectorate demanding release of 3000 cusecs from Mettur and help them save standing crop. [size=no report]",Protests
"Assumed on 28 Feb, in Mysuru town (Mysuru, Karnataka), in the aftermath of the Pulwama attack in J&K, various organisations, including Vishwa Hindu Parishad, Jaya Karnataka, Chalavadi Mahasabha and Taluk Auto Drivers and Owners Association, staged a protest in front of the Town Police Station against a photograph of a Pakistan soldier kissing his flag which was shared on social media by a fellow resident. [size=no report]",Protests
"On 28 Feb, Karnah residents staged a protest in Tangdhar town (Kupwara, J&K), demanding that the administration clear the roads of snow and restore vehicular movement. [size=no report]",Protests
"On 28 Feb, doctors staged a protest at the district hospital in Pulwama district town (J&K) against the alleged abuse of a doctor by the district administrator. [size=no report]",Protests
"On 28 Feb, students staged a protest at the Government Medical College (GMC) in Srinagar city (J&K) against earlier mob violence targeting Kashmiri and Muslim students at the Government Medical College (GMC) Jammu hostel. [size=scores]",Protests
"On February 28, locals, including Naga people, staged a rally in Kamjong city (Ukhrul, Manipur), in protest after Assam Riffles officials arrested three NSCN-IM cadres on February 20. The cadres had been released on the same day. Locals demanded the transfer of the Assam Riffle commander of the area. [size=no report]",Protests
"On February 28, 10 members of the Congress' student wing NSUI staged a protest in ITI College in Agartala city (West Tripura, Tripura), demanding the suspension of an instructor. They also complained about the condition of classrooms and irregularities in classes. [size=10]",Protests
"On 28 Feb, in Tondiarpet village (Chennai, TN), parents of private school students staged a road roko (""obstruct the road"") near their school alleging that the school management had made false promises regarding its CBSE affiliation. The police detained a few parents. [size=no report]",Protests
"On 28 February, over 50 contractual clerks began demonstrating on the campus of the Punjabi University in Patiala (Punjab) to demand promotion to 'ad-hoc employees'. [size=over 50]",Protests
"Between 26 February and 4 March, two persons including a village sarpanch were injured and admitted to hospital when two rival groups using sharp-edged weapons clashed in Khanpur village in Fazilka (Punjab). The clash is reported to be due to political rivalry.",Other
"On 28 Feb, near Malappuram district (Kerala), the MSF and the Muslim League staged a protest against the Vice Chancellor of Calicut University at the Senate, alleging sidelining of the their members in the ongoing C Zone youth festival. [size=no report]",Protests
"On 28 Feb, the Odisha Pipe Workers' Union sat on dharnas outside the divisional offices of the Public Health Engineering Organisation across Odisha state, demanding regularization of temporary employees along with social security coverage such as provident fund and retirement benefits like pension and minimum wage for contractual and self-employed workers under the rural drinking water supply network. [size=no report]",Protests
"On 28 Feb, members of the transgender community held a protest against the state government in Bhubaneswar city (Odisha) demanding the formation of a welfare board. [size=no report]",Protests
"On 28 Feb, agriculture department employees staged a protest at the Directorate of Agriculture in Jammu city (J&K) against the appointment of a non-technical director as Director Agriculture Jammu. [size=no report]",Protests
"On 28 Feb, in Thalassery city (Kannur, Kerala), a pipe bomb planted by unidentified assailants went off near the BJP office while some civilians were trying to lift a heavy pipe abandoned in the bushes. Three were injured, with one losing the ability to hear.",Other
"On February 28, around 200 aspiring school teachers who passed the School Service Commission (SSC) started an indefinite dharna on Mayo Road in Kolkata city (Kolkata, West Bengal), demanding the filling of vacant teaching posts. [size=200]",Protests
"On 27 Feb, Indian and Pakistani forces exchanged fire across the LoC in the Kamalkot area of Uri sector (Baramulla, J&K). No injuries were reported.",Other
"On 27 Feb, Indian and Pakistani forces exchanged fire across the LoC in the Mendhar sector area (Poonch, J&K). No injuries were reported.",Other
"On 27 Feb, Indian and Pakistani forces exchanged fire across the LoC in the Krishna Ghati sector area (Poonch, J&K). No injuries were reported.",Other
"On 27 Feb, Indian and Pakistani forces exchanged fire across the LoC in the Mankote sector area (Poonch, J&K). No injuries were reported.",Other
"On 27 Feb, Indian and Pakistani forces exchanged fire across the LoC in the Balakote sector area (Poonch, J&K). No injuries were reported.",Other
"On 27 Feb, Maoists shot a suspected police informer after dragging him off a bus in Narayanpur district (Chhattisgarh).",Violence against civilians
"On 27 Feb, two employees of Ranchi University assaulted two journalists who went to the campus in Ranchi city (Jharkhand) to cover students' unrest over regular delays in opening the examination department counter.",Violence against civilians
"On 27 Feb, in Vinukonda town (Guntur, AP), the TDP and YSRCP hurled chairs, pelted stones and attacked each other with sticks when a vernacular TV channel held a debate on the development of AP. The police intervened to control the situation. 2 were injured. [size=no report]",Riots
"Assumed on 27 Feb, in Puducherry district, employees of the Public Works Department (PWD) shouted slogans against the Lt Governor alleging that she did not allow their status to be converted to daily rated employees. Police forcefully removed them from the spot after an altercation with them and arrested them. [size=50]",Riots
"On 27 Feb, in Pattukkottai tehsil (Thanjavur, TN), a mother and daughter were injured in a clash with Thiruchitrambalam policemen as the latter attempted to arrest a man (husband and father rioters) over selling liquor. One policeman was also injured. The mother and daughter were later arrested. [size=2]",Riots
"On 27 Feb, rioters clashed with state forces (assumed police) in Srinagar city (J&K) amid a JRL-led shutdown in response to mass arrests, raids on separatists' residences and moves to abrogate Article 35A. [size=minor]",Riots
"On February 27, two groups of Pepsu Road Transport Corporation conductors clashed in Patiala town (Punjab) over bus timing slots. One person was injured. [size=no report]",Riots
"On 27 Feb, near Tiruvennanallur in Tirukkoyilur tehsil (Viluppuram, TN), a group of upper caste Hindus from the Vanniyar community raided the Anathur Dalit Colony and damaged at least 15 houses and burned vehicles after they came to know an inter-caste marriage that recently occurred. [size=300]",Riots
"On February 27, locals lynched two people in Gargaon village (Chirang, Assam), after the victims confessed the killing of the village's headman. Three months before, the headman had conducted a village trial against one of the victims, for maintaining illicit relations with a local woman. [size=no report]",Riots
"Assumed on 27 Feb, in Chennai city (Chennai, TN), crowds gathered in front of Wing Commander Abhinandan Varthaman's father's residence to show solidarity to the detained pilot in Pakistan. Mediapersons were also in the site. The military kept the family insulated from the crowd.",Protests
"On February 27, BSNL Casual Contract Workers' Union demonstrated at its Bharatnagar head office in Bharat Nagar (Bathinda, Punjab). Demonstrators carried and later burnt the effigy of senior officials to demand the early release of salaries that have been owed for six months. [size=no report]",Protests
"On February 27, members of Safal Bharat Guru Prampara NGO sat on dharna in Hoshiarpur (Hoshiarpur, Punjab) to oppose the set-up of a Coca-Cola factory. [size=no report]",Protests
"On February 27, member of the YAD gathered and held a protest in Ludhiana (Ludhiana, Punjab) against the Local Bodies Minister and his earlier comment. [size=no report]",Protests
"On February 27, AAP held a demonstration outside the Deputy Commissioner's office in Ludhiana (Ludhiana, Punjab) to oppose the alleged involvement of a cabinet minister in the Ludhiana CLU scam. [size=no report]",Protests
"On February 27, anganwadi workers and helpers, as part of an ongoing agitation, burnt the effigy of the BJP government in Karnal (Karnal, Haryana) to press their demands including increased wages. [size=no report]",Protests
"On February 27, over 500 sweepers, ward attendants and security guards demonstrated outside the Government Medical College and Hospital in Chandigarh city after it was alleged that a new contractor would fire security guards and bring his own security. [size=500]",Protests
"On February 27, members of staff at the Gian Sagar Medical College and Hospital held a demonstration outside the premises in Patiala (Punjab) to demand the payment of salaries and EPF owed. [size=no report]",Protests
"On February 27, BJP councillors and mayors shouted slogans outside the Delhi Assembly in Delhi-New Delhi (NCT of Delhi) to oppose the cut in funds allocated for civic bodies. The police was present but did not intervene. [size=no report]",Protests
"In the week of February 24 to March 1, 2019 several student organisations shouted anti-war slogans and demonstrated at PU in Chandigarh (Chandigarh) to oppose war and demand solutions through dialogue to resolve the current tensions between India and Pakistan following the militant attack in Pulwama, J&K. [size=no report]",Protests
"On February 27, students of Punjab Agricultural University in Ludhiana (Punjab) continued their demonstration for the 8th day and blocked gates and prevented access to the administrative block. Students pressed for their voices to be heard on a range of issues. [size=no report]",Protests
"On February 27, members of the BKU blocked the railway in Bijnor (Uttar Pradesh) to demand payment of sugarcane dues owed. The police came on the scene and pacified the demonstrators. [size=no report]",Protests
"Between February 24 and March 2, Anganwari workers and helpers shouted slogans and held a dharna in Sito Gunno village (Fazilka, Punjab) to oppose the alleged harassment of the Child Development and Women Officer by persons with influence. [size=no report]",Protests
"On 27 Feb, the Jharkhand power engineer service association held a protest in Ranchi city (Jharkhand) against the Jharkhand Urja Vikas Nigam Limited board's decisions of handing over the power distribution and supply in Ranchi and Jamshedpur area to the private parties and the prosecution sanctions against nine electrical engineers. [size=no report]",Protests
"On 27 Feb, 700 tribals, marching from Hazaribagh and its neighbouring districts for nine days, held a demonstration at Raj Bhavan in Ranchi city (Jharkhand). They are protesting against their possible eviction from forest land following a recent Supreme Court directive. [size=700]",Protests
"On 27 Feb, opposition parties in Maharashtra staged a protest in the legislature complex in Mumbai city, demanding that adequate number of animal fodder camps be set up in drought-affected areas of the state. [size=no report]",Protests
"On 27 Feb, in Colvale in Bardez tehsil (North Goa, Goa), locals, including Goa Green Brigade and Goencho Avaaz, staged a protest against the felling of six old and iconic mango trees lined up at Colvale. [size=no report]",Protests
"On 27 Feb, in Hanamkonda tehsil (Warangal, Telangana), activists of various student unions protested outside the college at Naimnagar, demanding stringent action against the culprit who set a girl on fire after she refused his love proposal. [size=no report]",Protests
"On 27 Feb, in Kodaikanal area (TN), the shopkeepers, hoteliers and others affected by a lock and seal operation in the area, along with public and political party representatives, gathered near the Kalaiarangam and observed a token fast and demonstration. Day 3 [size=no report]",Protests
"Between 26-27 Feb, in Visakhapatnam city (Visakhapatnam, AP), Pratyeka Hoda and Vibhajana Hameela Sadhana Samiti JAC, including employees' association, workers, and students, launched a relay strike and protest at Gandhi statue near GVMC office to oppose the Prime Minister's visit in the city on 1 Mar. Protest still ongoing as of 28 Feb. Day 1 [size=100]",Protests
"On 27 Feb, in Hyderabad city (Hyderabad, Telangana), the AgriGold Customers and Agents Welfare Association (ACAWA) members staged a relay hunger strike and protest at Dharna Chowk near Indira Park requesting the State government in attaching the assets of AgriGold in order to repay depositors' money. Day 1 [size=no report]",Protests
"On 27 Feb, near Madurai city (Madurai, TN), villagers and students of the Government Higher Secondary School at Thazhakkudi staged a protest and detained a TN State Transport Corporation bus condemning the headmistress' actions. The latter scolded a girl and referred to her caste when the girl went to her to report on boys who were teasing her. [size=no report]",Protests
"Assumed on 27 Feb, in Warangal city (Warangal, Telangana), students' organisations and parents of a local college student who attempted suicide after she was caught cheating on her exams staged a protest demanding justice for the girl. Police were present at the scene but there was no report on physical contact. [size=no report]",Protests
"On 27 Feb, in Visakhapatnam city (Visakhapatnam, AP), CPM and CPI activists took out a rally from railway station to DRM office and staged a dharna to oppose the Prime Minister's visit in the city on 1 Mar as he failed to fulfill his promises in the Bifurcation Act. [size=no report]",Protests
"On 27 Feb, in Madurai city (Madurai, TN), advocates and human rights activists staged a protest in front of the Madurai District Court, demanding an inquiry into the disappearance of an anti-Sterlite activist (R.S. Mugilan) who disappeared after releasing a video documentary on the 22 May 2018 Tutricorn protest which killed 13 people. [size=no report]",Protests
"On 27 Feb, in Hyderabad city (Hyderabad, Telangana), teachers of Kasturba Gandhi Balika Vidyalayas (KGBVs) and urban residential schools (URSs), including United Teachers Federation (UTF), staged a dharna near Indira Park, demanding increase in salary and better welfare benefits. [size=2000]",Protests
"On 27 Feb, LIC employees staged protests outside LIC offices in J&K, calling for various demands including wage revision, pension options and the scrapping of Defined Contribution Pension Scheme (DCPS). [size=massive]",Protests
"On 27 Feb, locals staged a protest at Ramban district town (J&K) against the construction company Gammon India Limited for negligence resulting in damage to Ramban town and the national highway. [size=no report]",Protests
"On February 27, members of the Assam Chah Mazdoor Sangha (ACMS), the state's largest tea workers' union, staged protests in several Tea Estates of the Brahmaputra Valley in Assam, to demand a complete ban of illicit liquor in the plantations. The protests happened after several people died for consuming spurious liquor in upper Assam. [size=no report]",Protests
"On February 27, farmers marching to the Punjab CM house to demand farm loan waivers and oppose the government's alleged anti-farmer policies were stopped by police in Mohali (Sahibzada Ajit Singh Nagar, Punjab). The farmers then sat on a road in protest. [size=no report]",Protests
"Assumed on 27 Feb, in Thiruvananthapuram city (Thiruvananthapuram, Kerala), four former KSRTC employees staged an agitation by threatening to committ suicide atop two trees near the Thiruvananthapuram Press Club. They were rescued by the Fire and Rescue Services personnel and police officers. [size=4]",Protests
"On 27 Feb, in Salem city (Salem, TN), police prevented the CPI-M from picketing an office during their protest condemning the hike in property tax and water tax by the Kannankurichi Town Panchayat. [size=no report]",Protests
"On 27 Feb, in Ariyalur district (TN), a woman belonging to a scheduled caste was subjected to casteist slurs by a man from an upper caste community. The man then assaulted and raped the woman.",Violence against civilians
"On February 27, vendors of Baisakhi market demonstrated at the entrance of AMP Vaisaakkhi Mall, in Kolkata city (Kolkata, West Bengal), demanding space inside the mall. [size=dozens/picture]",Protests
"On 27 Feb, Pakistani jets carried out air strikes across the LoC, dropping bombs in the Poonch sector area (Poonch, J&K). No injuries or damage were reported.",Other
"On 27 Feb, Pakistani jets carried out air strikes across the LoC, dropping bombs in the Naushera sector area (Rajouri, J&K). No injuries or damage were reported.",Other
"In the past few weeks before 12 Mar, in Western Krishna district (AP), maize farmers staged a protest against the suppliers who provided them fake seeds. Day 1 [size=no report]",Protests
"On 27 Feb, two JeM militants were killed in a clash with state forces during a joint RR, CRPF and SOG CASO at Mimandar village (Shopian, J&K).",Other
"On 27 Feb, an Indian military Mi17 V5 helicopter crashed in Budgam district (J&K) killing six personnel onboard and a civilian on the ground. The crash was believed to have resulted from the deployment of an Indian air defence missile. The helicopter may have been mistaken for a low flying Pakistani armed UAV.",Other
"On 27 February, 5 DC office employees assaulted a patwari (government official who keeps records regarding the ownership of land) at Punjab and Haryana High Court in Chandigarh city (Chandigarh) for allegedly presenting government record in court. No injuries were reported. [size=5]",Riots
"Defusal: On 26 Feb, a suspected Pakistani military unmanned aerial vehicle was shot down by the Indian Air Force at Mothala area (Kutch, Gujarat). The incident comes in the aftermath of the militant attack on a CRPF convoy at Pulwama in Jammu and Kashmir.",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Krishna Gati area (Poonch, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Khari Karmara area (Poonch, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Mankote area (Poonch, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Tarkundi area (Rajouri, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Kalal area of Naushera sector (Rajouri, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Baba Khori area of Naushera sector (Rajouri, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Kalsian area of Naushera sector (Rajouri, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Laam area of Naushera sector (Rajouri, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Pallanwalla area of Akhnoor sector (Jammu, J&K).",Other
"On 26 Feb, five Indian soldiers were injured as Indian and Pakistani forces exchanged small, automatic and heavy weaponry fire in various places across the LoC, including in the Laleali area of Akhnoor sector (Jammu, J&K).",Other
"On 26 Feb, rioters clashed with police and CRPF as they conducted a raid at the JKLF chairman's residence in the Maisuma area of Jammu city (J&K). [size=no report]",Riots
"On February 26, two persons were injured when supporters of a teacher and a student clashed outside a school in Gag Kalan (Ludhiana, Punjab). [size=no report]",Riots
